GeneName	C1_normalize_thefile1	T1_normalize_thefile1	T2_normalize_thefile2	T3_normalize_thefile3
ENSG00000074054_CLASP1	121.6955523	130.2494707	101.2886578	62.14372511
ENSG00000074181_NOTCH3	195.5684558	109.917298	160.3178094	89.15758464
ENSG00000074201_CLNS1A	167.2196493	125.4753418	139.7470444	107.5815108
ENSG00000074416_MGLL	21.83624286	126.3178351	73.39514774	142.1189671
ENSG00000074527_NTN4	112.8844368	70.32011096	46.17242348	37.44026146
ENSG00000074695_LMAN1	270.3352406	274.259666	285.2516671	220.020777
ENSG00000074696_HACD3	204.826512	125.0821782	217.6140976	227.7220966
ENSG00000074800_ENO1	3054.456206	3773.07835	4407.845377	3348.237559
ENSG00000075151_EIF4G3	188.8643462	160.9162284	232.4272843	121.6808497
ENSG00000075223_SEMA3C	85.8764522	123.4533577	79.76761296	23.16319973
ENSG00000075275_CELSR1	353.4662003	256.1741423	311.971302	136.8465253
ENSG00000075292_ZNF638	178.9039547	125.9246715	172.7832457	95.61484492
ENSG00000075413_MARK3	108.1596357	103.5705149	82.00356567	106.7521379
ENSG00000075415_SLC25A3	592.3240498	368.8435852	510.1885098	481.8656435
ENSG00000075420_FNDC3B	177.3715868	281.1681114	150.926808	73.10329531
ENSG00000075426_FOSL2	240.0709742	349.1854072	415.3841149	430.0890794
ENSG00000075618_FSCN1	187.3958269	393.6690557	529.9766913	508.2278529
ENSG00000075624_ACTB	2655.465908	5078.493701	4406.28021	1840.793108
ENSG00000075643_MOCOS	205.9119393	39.48485464	130.8591324	143.2445446
ENSG00000075711_DLG1	276.8478043	82.78901243	267.0286525	150.8866233
ENSG00000075785_RAB7A	355.5093575	420.2918453	478.7174754	675.7019338
ENSG00000075856_SART3	82.5563217	106.4349922	79.8794106	96.08877228
ENSG00000076003_MCM6	109.7558523	44.42748225	121.3004346	62.14372511
ENSG00000076108_BAZ2A	183.2456638	173.2166312	202.4096192	188.2084029
ENSG00000076248_UNG	109.5643063	58.46903795	113.5304989	134.1214429
ENSG00000076356_PLXNA2	124.8879855	90.82078229	128.9026738	56.8120423
ENSG00000076554_TPD52	80.83240779	75.99289947	102.2389377	71.14834495
ENSG00000076604_TRAF4	68.82885909	160.2422337	61.04150901	96.4442178
ENSG00000077097_TOP2B	232.9837725	136.6524201	199.391083	82.16715608
ENSG00000077147_TM9SF3	236.303903	205.3998768	287.3199234	251.4184646
ENSG00000077150_NFKB2	66.72185319	133.9564414	77.64345789	136.6095616
ENSG00000077157_PPP1R12B	71.31895696	193.9981336	63.16566408	30.74603749
ENSG00000077232_DNAJC10	347.4005773	158.9504106	283.127512	190.1041124
ENSG00000077235_GTF3C1	146.5326824	114.4667621	151.8211891	169.1328267
ENSG00000077254_USP33	103.1155913	70.43244341	99.61169327	75.35445027
ENSG00000077380_DYNC1I2	98.64618487	117.8367355	100.5619732	77.84256891
ENSG00000077549_CAPZB	159.5578097	268.6992099	177.8700382	157.4031245
ENSG00000077721_UBE2A	89.13273403	69.64611629	91.28276942	120.8514769
ENSG00000077782_FGFR1	4.277860444	11.28941079	9.949989564	104.441742
ENSG00000077942_FBLN1	224.2365057	202.423067	144.163051	120.5552723
ENSG00000078124_ACER3	50.88738469	78.57654572	134.2689603	87.49883888
ENSG00000078140_UBE2K	212.4883516	122.3300333	210.5149477	209.1796886
ENSG00000078269_SYNJ2	69.53119438	80.09303373	94.0218115	146.8582407
ENSG00000078304_PPP2R5C	101.1362827	90.48378495	101.6799495	69.72656287
ENSG00000078369_GNB1	468.3299456	626.9835453	487.6612863	520.4314824
ENSG00000078401_EDN1	11.68430539	293.5808466	23.92469401	33.64884257
ENSG00000078618_NRDC	264.3973149	206.9163648	266.9168549	183.8838158
ENSG00000078668_VDAC3	143.5956439	106.6034909	150.7032127	135.8986705
ENSG00000078674_PCM1	246.1365972	145.5266833	178.0377346	85.72161128
ENSG00000078747_ITCH	174.9453376	295.3781658	284.1895896	184.1800204
ENSG00000078808_SDF4	124.9518342	83.29450843	139.6911456	153.0192964
ENSG00000079134_THOC1	204.251874	234.8309776	164.8456136	85.36616576
ENSG00000079246_XRCC5	484.7390521	371.2025666	517.2317609	292.2354585
ENSG00000079308_TNS1	33.13745628	78.07104971	189.273397	173.6943775
ENSG00000079332_SAR1A	94.2406271	60.21019086	93.79821622	156.4552698
ENSG00000079432_CIC	92.8359565	61.89517754	115.5428563	148.2207819
ENSG00000079459_FDFT1	494.8909896	368.0010919	460.7739549	227.6036147
ENSG00000079739_PGM1	68.06267512	76.89155903	109.2262899	59.95181107
ENSG00000079785_DDX1	232.3452859	156.7599279	212.9744957	125.7092323
ENSG00000079805_DNM2	116.1407186	156.029767	121.0209405	110.1881112
ENSG00000080345_RIF1	191.0990494	174.8454516	215.1545496	90.04619844
ENSG00000080371_RAB21	71.38280562	55.32372947	72.50076665	113.32788
ENSG00000080815_PSEN1	136.8276855	98.51555481	119.4557736	181.0402516
ENSG00000080822_CLDND1	97.04996828	207.9273569	124.5984648	210.4829889
ENSG00000080824_HSP90AA1	1529.175487	1097.319495	2420.083417	1951.929074
ENSG00000080986_NDC80	226.7904522	183.3265513	172.0006623	75.59141395
ENSG00000081154_PCNP	236.112357	200.0640857	249.4764237	252.0108738
ENSG00000081791_KIAA0141	102.7324993	79.19437417	77.86705316	55.6272239
ENSG00000081923_ATP8B1	73.29826552	161.4778906	72.27717138	32.22706049
ENSG00000082153_BZW1	355.1901142	439.613026	613.9926144	633.6408806
ENSG00000082438_COBLL1	64.80639329	100.6498713	35.38395165	18.30544429
